TimeStamp,LinkNo,FromNode,Vol_00
00:00:00,24016139,49324473,0.504
00:00:00,24016139,49324474,0.354
00:00:00,24016573,49329347,12.822
00:00:00,24016573,49329368,5.369
00:00:00,24016600,49324470,0.184
00:00:00,24016600,49329347,0.189
00:00:00,24016914,49324428,103.000
00:00:00,24016926,49324458,0.023
00:00:00,24016926,49324470,0.173
00:00:00,24017129,49329346,13.433
00:00:00,24017129,49329347,5.434
00:00:00,24017204,49324304,0.412
00:00:00,24017204,49324305,0.288
00:00:00,24017272,49324435,0.025
00:00:00,24017272,49324458,0.165
00:00:00,24017492,49329345,13.749
00:00:00,24017492,49329346,5.220
00:00:00,24017540,49329345,8.967
00:00:00,24017564,49324468,0.280
00:00:00,24017611,49324288,1.778
00:00:00,24017611,49324304,1.441
00:00:00,24017634,49324466,0.272
00:00:00,24017829,49329353,9.029
00:00:00,24018652,49329320,13.719
00:00:00,24018652,49329321,14.719
00:00:00,24019096,49324281,1.999
00:00:00,24019096,49324282,1.246
00:00:00,24019162,49324436,0.101
00:00:00,24019738,49323821,4.235
00:00:00,24019738,49323825,2.925
00:00:00,24019909,49323821,2.859
00:00:00,24019909,49323822,4.338
00:00:00,24020234,49329252,0.338
00:00:00,24020234,49329315,2.524
00:00:00,24020640,49329251,0.373
00:00:00,24020640,49329252,2.388
00:00:00,24020846,49323799,134.085
00:00:00,24020915,49329242,0.395
00:00:00,24020915,49329251,2.324
00:00:00,24020980,49324215,11.408
00:00:00,24021296,49329241,0.416
00:00:00,24021296,49329242,2.267
00:00:00,24021305,49324270,0.026
00:00:00,24021305,49324271,20.951
00:00:00,24021315,49324213,11.650
00:00:00,24021499,49329240,0.052
00:00:00,24021499,49329241,0.071
00:00:00,24021695,49324207,0.717
00:00:00,24021947,49329235,0.053
00:00:00,24021947,49329240,0.069
00:00:00,24021955,49324206,0.738
00:00:00,24022320,49324191,3.331
00:00:00,24057810,49324278,0.000
00:00:00,24057810,49329252,0.010
00:00:00,24150095,49324195,3.353
00:00:00,24150096,49324193,7.370
00:00:00,24168944,49324472,0.518
00:00:00,24168944,49324473,0.343
00:00:00,24562381,49324276,0.000
00:00:00,24562382,49324277,0.000
00:00:00,24562510,49324279,0.000
00:00:00,24562512,49324273,0.389
00:00:00,24562512,49329236,0.172
00:00:00,24562513,49324270,0.398
00:00:00,24562513,49324273,0.164
00:00:00,24562535,49329250,0.000
00:00:00,24562536,49329251,0.000
00:00:00,24562763,49324435,0.157
00:00:00,24562763,49324472,0.028
00:00:00,28431889,49324201,18.205
00:00:00,28432257,49324468,8.426
00:00:00,28432261,49324456,0.022
00:00:00,28432263,49324217,0.002
00:00:00,28432291,49323792,12.000
00:00:00,28433356,49324297,0.673
00:00:00,28433356,49324359,1.044
00:00:00,28435195,19711795,1.361
00:00:00,28435195,19711796,1.861
00:00:00,28435196,19711795,1.820
00:00:00,28435196,49324288,1.395
00:00:00,121223088,19710152,77.241
00:00:00,121223230,49324309,0.888
00:00:00,121223320,49324211,4.983
00:00:00,121239465,49324317,4.041
00:00:00,121239471,289855015,0.143
00:00:00,121239472,289855613,29.000
00:00:00,121239488,289853986,70.386
00:00:00,121239630,49324247,7.947
00:00:00,121239631,49324208,8.237
00:00:00,121239632,49324208,9.422
00:00:00,121239638,49324245,9.131
00:00:00,121240114,49324296,0.846
00:00:00,121240115,289853629,0.000
00:00:00,121240117,49324127,6.077
00:00:00,126498950,49329343,15.287
00:00:00,126498950,49329345,0.626
00:00:00,126498966,49329353,79.424
00:00:00,126499072,49324305,0.400
00:00:00,126499072,49324472,0.306
00:00:00,126499377,49324454,0.021
00:00:00,126499379,289856050,8.840
00:00:00,126499382,49329340,8.874
00:00:00,126499383,49324252,0.000
00:00:00,126499384,49324359,0.002
00:00:00,126499385,49324140,0.000
00:00:00,126499386,49324359,0.666
00:00:00,126499386,49324401,1.087
00:00:00,126499387,49324116,77.315
00:00:00,126499392,289856107,19.975
00:00:00,126499408,49324261,7.372
00:00:00,126499410,49324401,0.633
00:00:00,126499410,49324436,1.102
00:00:00,126499411,289855312,7.699
00:00:00,126500948,49324118,1.044
00:00:00,128790842,49329337,15.642
00:00:00,128790842,49329343,0.605
00:00:00,128791440,289853627,0.000
00:00:00,128791462,49323825,4.131
00:00:00,128791462,311826648,2.993
00:00:00,128791463,49324281,3.059
00:00:00,128791463,311826648,4.025
00:00:00,128791616,311827412,84.170
00:00:00,128791617,49324146,82.562
00:00:00,128791618,49323802,46.881
00:00:00,128791619,311827412,6.647
00:00:00,128791621,49324151,138.000
00:00:00,128791638,311827508,5.818
00:00:00,128791639,289853631,5.952
00:00:00,128791653,49324106,1.107
00:00:00,128791654,297472865,1.075
00:00:00,128791783,297477330,7.932
00:00:00,128791785,49324096,5.525
00:00:00,128791785,311828030,2.789
00:00:00,128791786,297477330,0.025
00:00:00,128791788,49323798,11.797
00:00:00,128791809,289855014,3.970
00:00:00,128791810,289855015,3.755
00:00:00,128793611,49324464,8.181
00:00:00,128793612,311838391,20.000
00:00:00,128793615,49329338,78.038
00:00:00,128793618,311838392,19.629
00:00:00,128793629,311827414,135.593
00:00:00,128793632,289856106,92.700
00:00:00,128793633,289853017,94.452
00:00:00,128793992,49324096,7.775
00:00:00,128793993,311828032,8.582
00:00:00,128793994,311828030,1.018
00:00:00,128793995,311828033,11.594
00:00:00,128793996,311839829,11.392
00:00:00,128794008,49324131,4.106
00:00:00,128794008,311839916,8.853
00:00:00,128794009,49324190,9.042
00:00:00,128794009,311839916,4.017
00:00:00,128795193,49324474,6.312
00:00:00,128795193,311844406,1.078
00:00:00,128795224,49329315,14.325
00:00:00,128795224,311844511,14.096
00:00:00,128795225,49329320,14.407
00:00:00,128795225,311844511,14.022
00:00:00,128795865,49329321,15.998
00:00:00,128795865,49329337,0.584
00:00:00,128809329,49324116,3.790
00:00:00,128830501,49324383,0.019
00:00:00,128830502,311828077,0.019
00:00:00,135272366,49324262,0.299
00:00:00,135272367,49324261,3.067
00:00:00,706625767,289856107,113.013
00:00:00,706625768,704688059,119.980
00:00:00,706625769,289856109,117.786
00:00:00,735221078,49324401,6.590
00:00:00,735221079,818474164,6.490
00:00:00,756090723,49323802,84.571
00:00:00,756090724,833198425,82.945
00:00:00,776739769,49324214,4.841
00:00:00,776739770,847347728,4.699
00:00:00,776739772,847347730,102.162
00:00:00,776739773,49324315,104.049
00:00:00,776739774,847347731,0.903
00:00:00,776739775,847347732,0.919
00:00:00,776739776,847347733,0.935
00:00:00,776739777,49324315,0.951
00:00:00,776741319,311827507,2.663
00:00:00,776741319,847348588,4.648
00:00:00,776744125,49324282,1.958
00:00:00,776744125,847350090,1.280
00:00:00,776744126,19711796,1.326
00:00:00,776744126,847350090,1.917
00:00:00,782789782,49324297,1.014
00:00:00,782789782,851384241,0.688
00:00:00,782789783,49324281,0.740
00:00:00,782789783,851384241,0.994
00:00:00,782789795,851384248,10.681
00:00:00,782789796,49324252,11.165
00:00:00,782789797,851384249,10.923
00:00:00,782789798,49329315,0.755
00:00:00,782789798,851384250,11.006
00:00:00,782789799,49324436,0.769
00:00:00,782789799,851384250,1.099
00:00:00,782789817,851384260,2.136
00:00:00,782789818,49324190,2.182
00:00:00,782789823,851384263,0.002
00:00:00,782789824,49324216,0.002
00:00:00,782790512,851384259,17.804
00:00:00,782790513,851384597,17.451
00:00:00,782850807,49324213,11.928
00:00:00,782850807,851418942,3.776
00:00:00,782850808,49324190,3.936
00:00:00,782850808,851418943,11.457
00:00:00,782850809,851418942,11.693
00:00:00,782850809,851418943,3.856
00:00:00,782850810,49324213,0.453
00:00:00,782850810,851418944,20.337
00:00:00,782850811,49324270,20.725
00:00:00,782850811,851418944,0.435
00:00:00,782851681,49329236,0.379
00:00:00,782851681,851419396,0.180
00:00:00,782851682,49329241,0.189
00:00:00,782851682,851419396,0.370
00:00:00,782951717,49324450,18.510
00:00:00,782951718,851476729,18.157
00:00:00,782958729,311844404,0.318
00:00:00,782958729,851480604,3.736
00:00:00,782958730,49324106,3.820
00:00:00,782958730,851480604,0.305
00:00:00,782958731,311828030,5.292
00:00:00,782958731,851480605,3.778
00:00:00,782958732,49324106,3.870
00:00:00,782958732,851480605,5.182
00:00:00,782958733,311827507,4.545
00:00:00,782958733,851480606,2.729
00:00:00,782958734,49323822,2.794
00:00:00,782958734,851480606,4.441
00:00:00,782958735,851480607,6.216
00:00:00,782958736,311827413,6.505
00:00:00,783001007,49324096,4.420
00:00:00,783001007,851503878,8.088
00:00:00,783001008,49324131,8.641
00:00:00,783001008,851503878,4.340
00:00:00,783001009,49324097,2.227
00:00:00,783001009,851503879,6.081
00:00:00,783001010,49324096,6.213
00:00:00,783001010,851503879,2.176
00:00:00,783876810,49324479,0.009
00:00:00,783876810,852096018,0.001
00:00:00,783876811,852096017,0.001
00:00:00,783876811,852096018,0.009
00:00:00,839235738,49324106,4.752
00:00:00,839235738,847348588,2.598
00:00:00,848890532,49324401,0.347
00:00:00,848890533,897033197,0.336
00:00:00,848890595,897033231,9.356
00:05:00,24016139,49324473,0.504
00:05:00,24016139,49324474,0.354
00:05:00,24016573,49329347,12.822
00:05:00,24016573,49329368,5.369
00:05:00,24016600,49324470,0.184
00:05:00,24016600,49329347,0.189
00:05:00,24016914,49324428,103.000
00:05:00,24016926,49324458,0.023
00:05:00,24016926,49324470,0.173
00:05:00,24017129,49329346,13.433
00:05:00,24017129,49329347,5.434
00:05:00,24017204,49324304,0.412
00:05:00,24017204,49324305,0.288
00:05:00,24017272,49324435,0.025
00:05:00,24017272,49324458,0.165
00:05:00,24017492,49329345,13.749
00:05:00,24017492,49329346,5.220
00:05:00,24017540,49329345,8.967
00:05:00,24017564,49324468,0.280
00:05:00,24017611,49324288,1.778
00:05:00,24017611,49324304,1.441
00:05:00,24017634,49324466,0.272
00:05:00,24017829,49329353,9.029
00:05:00,24018652,49329320,13.719
00:05:00,24018652,49329321,14.719
00:05:00,24019096,49324281,1.999
00:05:00,24019096,49324282,1.246
00:05:00,24019162,49324436,0.101
00:05:00,24019738,49323821,4.235
00:05:00,24019738,49323825,2.925
00:05:00,24019909,49323821,2.859
00:05:00,24019909,49323822,4.338
00:05:00,24020234,49329252,0.338
00:05:00,24020234,49329315,2.524
00:05:00,24020640,49329251,0.373
00:05:00,24020640,49329252,2.388
00:05:00,24020846,49323799,134.085
00:05:00,24020915,49329242,0.395
00:05:00,24020915,49329251,2.324
00:05:00,24020980,49324215,11.408
00:05:00,24021296,49329241,0.416
00:05:00,24021296,49329242,2.267
00:05:00,24021305,49324270,0.026
00:05:00,24021305,49324271,20.951
00:05:00,24021315,49324213,11.650
00:05:00,24021499,49329240,0.052
00:05:00,24021499,49329241,0.071
00:05:00,24021695,49324207,0.717
00:05:00,24021947,49329235,0.053
00:05:00,24021947,49329240,0.069
00:05:00,24021955,49324206,0.738
00:05:00,24022320,49324191,3.331
00:05:00,24057810,49324278,0.000
00:05:00,24057810,49329252,0.010
00:05:00,24150095,49324195,3.353
00:05:00,24150096,49324193,7.370
00:05:00,24168944,49324472,0.518
00:05:00,24168944,49324473,0.343
00:05:00,24562381,49324276,0.000
00:05:00,24562382,49324277,0.000
00:05:00,24562510,49324279,0.000
00:05:00,24562512,49324273,0.389
00:05:00,24562512,49329236,0.172
00:05:00,24562513,49324270,0.398
00:05:00,24562513,49324273,0.164
00:05:00,24562535,49329250,0.000
00:05:00,24562536,49329251,0.000
00:05:00,24562763,49324435,0.157
00:05:00,24562763,49324472,0.028
00:05:00,28431889,49324201,18.205
00:05:00,28432257,49324468,8.426
00:05:00,28432261,49324456,0.022
00:05:00,28432263,49324217,0.002
00:05:00,28432291,49323792,12.000
00:05:00,28433356,49324297,0.673
00:05:00,28433356,49324359,1.044
00:05:00,28435195,19711795,1.361
00:05:00,28435195,19711796,1.861
00:05:00,28435196,19711795,1.820
00:05:00,28435196,49324288,1.395
00:05:00,121223088,19710152,77.241
00:05:00,121223230,49324309,0.888
00:05:00,121223320,49324211,4.983
00:05:00,121239465,49324317,4.041
00:05:00,121239471,289855015,0.143
00:05:00,121239472,289855613,29.000
00:05:00,121239488,289853986,70.386
00:05:00,121239630,49324247,7.947
00:05:00,121239631,49324208,8.237
00:05:00,121239632,49324208,9.422
00:05:00,121239638,49324245,9.131
00:05:00,121240114,49324296,0.846
00:05:00,121240115,289853629,0.000
00:05:00,121240117,49324127,6.077
00:05:00,126498950,49329343,15.287
00:05:00,126498950,49329345,0.626
00:05:00,126498966,49329353,79.424
00:05:00,126499072,49324305,0.400
00:05:00,126499072,49324472,0.306
00:05:00,126499377,49324454,0.021
00:05:00,126499379,289856050,8.840
00:05:00,126499382,49329340,8.874
00:05:00,126499383,49324252,0.000
00:05:00,126499384,49324359,0.002
00:05:00,126499385,49324140,0.000
00:05:00,126499386,49324359,0.666
00:05:00,126499386,49324401,1.087
00:05:00,126499387,49324116,77.315
00:05:00,126499392,289856107,19.975
00:05:00,126499408,49324261,7.372
00:05:00,126499410,49324401,0.633
00:05:00,126499410,49324436,1.102
00:05:00,126499411,289855312,7.699
00:05:00,126500948,49324118,1.044
00:05:00,128790842,49329337,15.642
00:05:00,128790842,49329343,0.605
00:05:00,128791440,289853627,0.000
00:05:00,128791462,49323825,4.131
00:05:00,128791462,311826648,2.993
00:05:00,128791463,49324281,3.059
00:05:00,128791463,311826648,4.025
00:05:00,128791616,311827412,84.170
00:05:00,128791617,49324146,82.562
00:05:00,128791618,49323802,46.881
00:05:00,128791619,311827412,6.647
00:05:00,128791621,49324151,138.000
00:05:00,128791638,311827508,5.818
00:05:00,128791639,289853631,5.952
00:05:00,128791653,49324106,1.107
00:05:00,128791654,297472865,1.075
00:05:00,128791783,297477330,7.932
00:05:00,128791785,49324096,5.525
00:05:00,128791785,311828030,2.789
00:05:00,128791786,297477330,0.025
00:05:00,128791788,49323798,11.797
00:05:00,128791809,289855014,3.970
00:05:00,128791810,289855015,3.755
00:05:00,128793611,49324464,8.181
00:05:00,128793612,311838391,20.000
00:05:00,128793615,49329338,78.038
00:05:00,128793618,311838392,19.629
00:05:00,128793629,311827414,135.593
00:05:00,128793632,289856106,92.700
00:05:00,128793633,289853017,94.452
00:05:00,128793992,49324096,7.775
00:05:00,128793993,311828032,8.582
00:05:00,128793994,311828030,1.018
00:05:00,128793995,311828033,11.594
00:05:00,128793996,311839829,11.392
00:05:00,128794008,49324131,4.106
00:05:00,128794008,311839916,8.853
00:05:00,128794009,49324190,9.042
00:05:00,128794009,311839916,4.017
00:05:00,128795193,49324474,6.312
00:05:00,128795193,311844406,1.078
00:05:00,128795224,49329315,14.325
00:05:00,128795224,311844511,14.096
00:05:00,128795225,49329320,14.407
00:05:00,128795225,311844511,14.022
00:05:00,128795865,49329321,15.998
00:05:00,128795865,49329337,0.584
00:05:00,128809329,49324116,3.790
00:05:00,128830501,49324383,0.019
00:05:00,128830502,311828077,0.019
00:05:00,135272366,49324262,0.299
00:05:00,135272367,49324261,3.067
00:05:00,706625767,289856107,113.013
00:05:00,706625768,704688059,119.980
00:05:00,706625769,289856109,117.786
00:05:00,735221078,49324401,6.590
00:05:00,735221079,818474164,6.490
00:05:00,756090723,49323802,84.571
00:05:00,756090724,833198425,82.945
00:05:00,776739769,49324214,4.841
00:05:00,776739770,847347728,4.699
00:05:00,776739772,847347730,102.162
00:05:00,776739773,49324315,104.049
00:05:00,776739774,847347731,0.903
00:05:00,776739775,847347732,0.919
00:05:00,776739776,847347733,0.935
00:05:00,776739777,49324315,0.951
00:05:00,776741319,311827507,2.663
00:05:00,776741319,847348588,4.648
00:05:00,776744125,49324282,1.958
00:05:00,776744125,847350090,1.280
00:05:00,776744126,19711796,1.326
00:05:00,776744126,847350090,1.917
00:05:00,782789782,49324297,1.014
00:05:00,782789782,851384241,0.688
00:05:00,782789783,49324281,0.740
00:05:00,782789783,851384241,0.994
00:05:00,782789795,851384248,10.681
00:05:00,782789796,49324252,11.165
00:05:00,782789797,851384249,10.923
00:05:00,782789798,49329315,0.755
00:05:00,782789798,851384250,11.006
00:05:00,782789799,49324436,0.769
00:05:00,782789799,851384250,1.099
00:05:00,782789817,851384260,2.136
00:05:00,782789818,49324190,2.182
00:05:00,782789823,851384263,0.002
00:05:00,782789824,49324216,0.002
00:05:00,782790512,851384259,17.804
00:05:00,782790513,851384597,17.451
00:05:00,782850807,49324213,11.928
00:05:00,782850807,851418942,3.776
00:05:00,782850808,49324190,3.936
00:05:00,782850808,851418943,11.457
00:05:00,782850809,851418942,11.693
00:05:00,782850809,851418943,3.856
00:05:00,782850810,49324213,0.453
00:05:00,782850810,851418944,20.337
00:05:00,782850811,49324270,20.725
00:05:00,782850811,851418944,0.435
00:05:00,782851681,49329236,0.379
00:05:00,782851681,851419396,0.180
00:05:00,782851682,49329241,0.189
00:05:00,782851682,851419396,0.370
00:05:00,782951717,49324450,18.510
00:05:00,782951718,851476729,18.157
00:05:00,782958729,311844404,0.318
00:05:00,782958729,851480604,3.736
00:05:00,782958730,49324106,3.820
00:05:00,782958730,851480604,0.305
00:05:00,782958731,311828030,5.292
00:05:00,782958731,851480605,3.778
00:05:00,782958732,49324106,3.870
00:05:00,782958732,851480605,5.182
00:05:00,782958733,311827507,4.545
