lat,lon,count
42.2846,-83.7471,1873
42.2846,-83.747,255
42.2847,-83.7485,2
42.2847,-83.7484,5071
42.2847,-83.7483,24223
42.2847,-83.7482,260
42.2847,-83.7476,2
42.2847,-83.7471,21354
42.2847,-83.747,4787
42.2847,-83.7466,30
42.2847,-83.7462,2
42.2848,-83.749,2
42.2848,-83.7489,7
42.2848,-83.7488,25
42.2848,-83.7487,46
42.2848,-83.7486,66
42.2848,-83.7485,91
42.2848,-83.7484,8931
42.2848,-83.7483,37867
42.2848,-83.7482,1749
42.2848,-83.7481,110
42.2848,-83.748,110
42.2848,-83.7479,21
42.2848,-83.7478,10
42.2848,-83.7477,9
42.2848,-83.7476,13
42.2848,-83.7475,31
42.2848,-83.7474,107
42.2848,-83.7473,684
42.2848,-83.7472,910
42.2848,-83.7471,15506
42.2848,-83.747,17867
42.2848,-83.7469,6105
42.2848,-83.7468,6234
42.2848,-83.7467,6553
42.2848,-83.7466,7671
42.2848,-83.7465,8877
42.2848,-83.7464,11061
42.2848,-83.7463,11764
42.2848,-83.7462,17723
42.2848,-83.7461,39454
42.2848,-83.746,50015
42.2848,-83.7459,28241
42.2848,-83.7458,25774
42.2848,-83.7457,23881
42.2848,-83.7456,10759
42.2849,-83.7495,4322
42.2849,-83.7494,12766
42.2849,-83.7493,14439
42.2849,-83.7492,16318
42.2849,-83.7491,13038
42.2849,-83.749,15740
42.2849,-83.7489,17327
42.2849,-83.7488,16523
42.2849,-83.7487,17005
42.2849,-83.7486,18892
42.2849,-83.7485,18862
42.2849,-83.7484,22142
42.2849,-83.7483,41859
42.2849,-83.7482,36970
42.2849,-83.7481,84927
42.2849,-83.748,22470
42.2849,-83.7479,3472
42.2849,-83.7478,3009
42.2849,-83.7477,3051
42.2849,-83.7476,3529
42.2849,-83.7475,3606
42.2849,-83.7474,4670
42.2849,-83.7473,9037
42.2849,-83.7472,7338
42.2849,-83.7471,9257
42.2849,-83.747,5775
42.2849,-83.7469,8337
42.2849,-83.7468,6505
42.2849,-83.7467,4162
42.2849,-83.7466,2974
42.2849,-83.7465,2255
42.2849,-83.7464,2213
42.2849,-83.7463,1362
42.2849,-83.7462,1662
42.2849,-83.7461,2770
42.2849,-83.746,2702
42.2849,-83.7459,49019
42.2849,-83.7458,57668
42.2849,-83.7457,9920
42.2849,-83.7456,3744
42.2849,-83.7455,4328
42.2849,-83.7454,150
42.2849,-83.7453,15
42.2849,-83.7452,9
42.285,-83.7497,29
42.285,-83.7496,3337
42.285,-83.7495,4415
42.285,-83.7494,2779
42.285,-83.7493,1891
42.285,-83.7492,1269
42.285,-83.7491,635
42.285,-83.749,607
42.285,-83.7489,490
42.285,-83.7488,317
42.285,-83.7487,220
42.285,-83.7486,242
42.285,-83.7485,350
42.285,-83.7484,16698
42.285,-83.7483,34986
42.285,-83.7482,12729
42.285,-83.7481,121373
42.285,-83.748,149697
42.285,-83.7479,104937
42.285,-83.7478,17441
42.285,-83.7477,1942
42.285,-83.7476,476
42.285,-83.7475,17
42.285,-83.7471,10995
42.285,-83.747,1165
42.285,-83.7468,9
42.285,-83.7467,5
42.285,-83.7459,110688
42.285,-83.7458,153579
42.285,-83.7457,1001
42.285,-83.7456,6
42.285,-83.7453,10
42.285,-83.7452,33
42.285,-83.7451,1127
42.285,-83.745,7548
42.285,-83.7449,1848
42.285,-83.7448,7
42.2851,-83.7497,20
42.2851,-83.7496,2180
42.2851,-83.7495,70
42.2851,-83.7494,1
42.2851,-83.7492,1
42.2851,-83.7486,1
42.2851,-83.7485,9
42.2851,-83.7484,18585
42.2851,-83.7483,37678
42.2851,-83.7482,1279
42.2851,-83.7481,1
42.2851,-83.748,81
42.2851,-83.7479,8159
42.2851,-83.7478,61030
42.2851,-83.7477,59916
42.2851,-83.7476,17024
42.2851,-83.7475,381
42.2851,-83.7474,18
42.2851,-83.7473,7
42.2851,-83.7471,4769
42.2851,-83.747,1403
42.2851,-83.7469,12
42.2851,-83.7459,31063
