lat,lon,count
42.2848,-83.7464,4
42.285,-83.7485,4
42.285,-83.7484,9
42.285,-83.7475,4
42.2851,-83.7484,19
42.2851,-83.7483,1
42.2851,-83.748,4
42.2851,-83.7477,1
42.2852,-83.7501,4
42.2852,-83.7484,6
42.2852,-83.7483,2
42.2852,-83.7448,2
42.2853,-83.7484,11
42.2853,-83.7483,8
42.2853,-83.7482,1
42.2854,-83.75,1
42.2854,-83.7484,31
42.2854,-83.7483,33
42.2854,-83.7482,1
42.2855,-83.7484,19
42.2855,-83.7483,42
42.2855,-83.7482,2
42.2856,-83.7498,2
42.2856,-83.7484,20
42.2856,-83.7483,96
42.2856,-83.7482,3
42.2856,-83.7456,1
42.2857,-83.7503,5
42.2857,-83.7484,20
42.2857,-83.7483,222
42.2857,-83.7482,9
42.2858,-83.7484,4
42.2858,-83.7483,233
42.2858,-83.7482,14
42.2858,-83.7442,3
42.2858,-83.7441,5
42.2858,-83.744,1
42.2859,-83.7493,2
42.2859,-83.7484,4
42.2859,-83.7483,379
42.2859,-83.7482,48
42.2859,-83.744,1
42.2859,-83.7439,2
42.286,-83.7484,4
42.286,-83.7483,529
42.286,-83.7482,83
42.286,-83.7436,1
42.286,-83.7435,1
42.2861,-83.7484,1
42.2861,-83.7483,730
42.2861,-83.7482,181
42.2861,-83.7481,7
42.2861,-83.7438,2
42.2861,-83.7436,1
42.2862,-83.749,2
42.2862,-83.7483,826
42.2862,-83.7482,306
42.2862,-83.7481,5
42.2862,-83.747,1
42.2862,-83.7436,1
42.2862,-83.7435,3
42.2863,-83.7483,756
42.2863,-83.7482,529
42.2863,-83.7481,9
42.2863,-83.747,5
42.2863,-83.7438,4
42.2863,-83.7437,1
42.2863,-83.7436,2
42.2863,-83.7435,3
42.2864,-83.7502,1
42.2864,-83.7485,1
42.2864,-83.7484,533
42.2864,-83.7483,788
42.2864,-83.7482,968
42.2864,-83.7481,66
42.2864,-83.747,2
42.2864,-83.7437,9
42.2864,-83.7436,2
42.2864,-83.7435,22
42.2864,-83.7434,1
42.2865,-83.7496,5
42.2865,-83.7484,125
42.2865,-83.7483,646
42.2865,-83.7482,1331
42.2865,-83.7481,251
42.2865,-83.747,5
42.2865,-83.7469,1
42.2865,-83.7436,1
42.2865,-83.7435,79
42.2865,-83.7434,5
42.2866,-83.7484,1
42.2866,-83.7483,97
42.2866,-83.7482,1694
42.2866,-83.7481,571
42.2866,-83.748,1
42.2866,-83.7469,3
42.2866,-83.7435,43
42.2866,-83.7433,1
42.2866,-83.7425,2
42.2867,-83.7484,5
42.2867,-83.7483,4
42.2867,-83.7482,1307
42.2867,-83.7481,849
42.2867,-83.748,61
42.2867,-83.7469,4
42.2867,-83.7468,1
42.2867,-83.7435,8
42.2867,-83.7434,17
42.2867,-83.7432,4
42.2868,-83.7483,3
42.2868,-83.7482,503
42.2868,-83.7481,1206
42.2868,-83.748,498
42.2868,-83.7469,1
42.2868,-83.7468,8
42.2868,-83.7435,1
42.2868,-83.7434,87
42.2868,-83.7433,9
42.2868,-83.7432,6
42.2868,-83.7431,1
42.2868,-83.743,4
42.2869,-83.7482,12
42.2869,-83.7481,1606
42.2869,-83.748,937
42.2869,-83.7479,19
42.2869,-83.7468,2
42.2869,-83.7467,18
42.2869,-83.7466,1
42.2869,-83.7435,11
42.2869,-83.7434,58
42.2869,-83.7433,174
42.2869,-83.7432,3
42.2869,-83.7431,4
42.2869,-83.743,6
42.2869,-83.7429,6
42.2869,-83.7427,2
42.287,-83.7482,1
42.287,-83.7481,906
42.287,-83.748,1397
42.287,-83.7479,494
42.287,-83.7467,21
42.287,-83.7466,17
42.287,-83.7437,3
42.287,-83.7436,57
42.287,-83.7435,94
42.287,-83.7434,11
42.287,-83.7433,67
42.287,-83.7432,59
42.287,-83.7431,12
42.287,-83.743,7
42.287,-83.7429,20
42.287,-83.7428,6
42.287,-83.7427,1
42.287,-83.7423,10
42.287,-83.7422,4
42.287,-83.7421,5
42.287,-83.742,2
42.2871,-83.7491,2
42.2871,-83.7482,3
42.2871,-83.7481,89
42.2871,-83.748,2157
42.2871,-83.7479,1351
42.2871,-83.7478,16
42.2871,-83.7467,1
42.2871,-83.7466,105
42.2871,-83.7465,9
42.2871,-83.7452,1
42.2871,-83.7438,5
42.2871,-83.7437,20
42.2871,-83.7436,11
42.2871,-83.7435,31
42.2871,-83.7434,74
42.2871,-83.7433,35
42.2871,-83.7432,51
42.2871,-83.7431,142
42.2871,-83.743,105
42.2871,-83.7429,16
42.2871,-83.7428,18
42.2871,-83.7427,16
42.2871,-83.7426,5
42.2871,-83.7425,7
42.2871,-83.7424,3
42.2871,-83.7423,4
42.2871,-83.7422,18
42.2871,-83.7421,243
42.2871,-83.742,1503
42.2871,-83.7419,1086
42.2872,-83.7484,2
42.2872,-83.7483,2
42.2872,-83.7481,4
42.2872,-83.748,1544
42.2872,-83.7479,2206
42.2872,-83.7478,600
42.2872,-83.7466,74
42.2872,-83.7465,311
42.2872,-83.7452,2
42.2872,-83.7451,3
42.2872,-83.7441,1
42.2872,-83.744,2
42.2872,-83.7439,3
42.2872,-83.7438,6
42.2872,-83.7437,2
42.2872,-83.7433,9
42.2872,-83.7432,68
42.2872,-83.7431,164
42.2872,-83.743,713
42.2872,-83.7429,1348
42.2872,-83.7428,406
42.2872,-83.7427,39
42.2872,-83.7426,1638
42.2872,-83.7425,1732
42.2872,-83.7424,176
42.2872,-83.7423,1333
42.2872,-83.7422,2732
42.2872,-83.7421,2556
42.2872,-83.742,1134
42.2872,-83.7419,140
42.2873,-83.7481,5
42.2873,-83.748,395
42.2873,-83.7479,2533
42.2873,-83.7478,2176
42.2873,-83.7477,7
42.2873,-83.7465,194
42.2873,-83.7464,49
42.2873,-83.7451,14
42.2873,-83.745,56
42.2873,-83.7443,4
42.2873,-83.7442,28
42.2873,-83.7441,11
42.2873,-83.744,1
42.2873,-83.7439,4
42.2873,-83.7431,7
42.2873,-83.743,695
42.2873,-83.7429,4524
42.2873,-83.7428,12160
42.2873,-83.7427,8292
42.2873,-83.7426,3617
42.2873,-83.7425,5311
42.2873,-83.7424,3873
42.2873,-83.7423,2031
42.2873,-83.7422,494
42.2873,-83.7421,33
42.2873,-83.742,6
42.2874,-83.7481,1
42.2874,-83.748,12
42.2874,-83.7479,2424
42.2874,-83.7478,3817
42.2874,-83.7477,215
42.2874,-83.7466,2
42.2874,-83.7465,18
42.2874,-83.7464,238
42.2874,-83.7463,3
42.2874,-83.745,73
42.2874,-83.7449,17
42.2874,-83.7446,4
42.2874,-83.7445,45
42.2874,-83.7444,58
42.2874,-83.7443,37
42.2874,-83.7442,7
42.2874,-83.7439,9
42.2874,-83.7438,3
42.2874,-83.7431,1
42.2874,-83.743,45
42.2874,-83.7429,1824
42.2874,-83.7428,9798
42.2874,-83.7427,18447
42.2874,-83.7426,14289
42.2874,-83.7425,3324
42.2874,-83.7424,156
42.2874,-83.7423,18
42.2874,-83.7421,4
42.2874,-83.742,6
42.2874,-83.7419,3
42.2875,-83.749,1
42.2875,-83.748,7
42.2875,-83.7479,1006
42.2875,-83.7478,3551
42.2875,-83.7477,3006
42.2875,-83.7476,3
42.2875,-83.7464,144
42.2875,-83.7463,197
42.2875,-83.745,14
42.2875,-83.7449,421
42.2875,-83.7448,63
42.2875,-83.7447,320
42.2875,-83.7446,187
42.2875,-83.7445,52
42.2875,-83.7438,10
42.2875,-83.7434,1
42.2875,-83.7433,43
42.2875,-83.7432,1515
42.2875,-83.7431,3047
42.2875,-83.743,3840
42.2875,-83.7429,2944
42.2875,-83.7428,948
42.2875,-83.7427,474
42.2875,-83.7426,2340
42.2875,-83.7425,4044
42.2875,-83.7424,4605
42.2875,-83.7423,1169
42.2875,-83.7422,28
42.2875,-83.7421,9
42.2875,-83.742,9
42.2875,-83.7419,4
42.2875,-83.7418,2
42.2876,-83.748,4
42.2876,-83.7479,23
42.2876,-83.7478,3140
42.2876,-83.7477,5066
42.2876,-83.7476,59
42.2876,-83.7464,2
42.2876,-83.7463,375
42.2876,-83.7462,34
42.2876,-83.7457,4
