lat,lon,count
42.28465,-83.74715,8
42.28465,-83.74714,15
42.28465,-83.74713,15
42.28465,-83.74712,141
42.28465,-83.74711,99
42.28465,-83.7471,70
42.28465,-83.74709,228
42.28465,-83.74708,274
42.28465,-83.74707,405
42.28465,-83.74706,618
42.28465,-83.74705,167
42.28465,-83.74704,58
42.28465,-83.74703,23
42.28465,-83.74702,4
42.28465,-83.74699,3
42.28466,-83.74715,5
42.28466,-83.74714,13
42.28466,-83.74713,18
42.28466,-83.74712,136
42.28466,-83.74711,107
42.28466,-83.7471,55
42.28466,-83.74709,269
42.28466,-83.74708,287
42.28466,-83.74707,410
42.28466,-83.74706,663
42.28466,-83.74705,132
42.28466,-83.74704,72
42.28466,-83.74703,24
42.28466,-83.74702,18
42.28466,-83.74699,3
42.28467,-83.74715,5
42.28467,-83.74714,7
42.28467,-83.74713,14
42.28467,-83.74712,90
42.28467,-83.74711,75
42.28467,-83.7471,35
42.28467,-83.74709,168
42.28467,-83.74708,212
42.28467,-83.74707,285
42.28467,-83.74706,539
42.28467,-83.74705,122
42.28467,-83.74704,71
42.28467,-83.74703,10
42.28467,-83.74702,16
42.28467,-83.74699,3
42.28468,-83.74715,5
42.28468,-83.74714,13
42.28468,-83.74713,17
42.28468,-83.74712,135
42.28468,-83.74711,113
42.28468,-83.7471,47
42.28468,-83.74709,265
42.28468,-83.74708,285
42.28468,-83.74707,484
42.28468,-83.74706,1016
42.28468,-83.74705,380
42.28468,-83.74704,97
42.28468,-83.74703,29
42.28468,-83.74702,24
42.28468,-83.74699,4
42.28468,-83.7466,6
42.28469,-83.74823,3
42.28469,-83.74715,2
42.28469,-83.74714,14
42.28469,-83.74713,19
42.28469,-83.74712,126
42.28469,-83.74711,133
42.28469,-83.7471,52
42.28469,-83.74709,213
42.28469,-83.74708,259
42.28469,-83.74707,555
42.28469,-83.74706,1217
42.28469,-83.74705,225
42.28469,-83.74704,183
42.28469,-83.74703,33
42.28469,-83.74702,30
42.28469,-83.74699,4
42.28469,-83.7466,5
42.2847,-83.74829,381
42.2847,-83.74828,1348
42.2847,-83.74827,566
42.2847,-83.74826,102
42.2847,-83.74825,42
42.2847,-83.74824,4
42.2847,-83.74823,1
42.2847,-83.74715,1
42.2847,-83.74714,10
42.2847,-83.74713,12
42.2847,-83.74712,81
42.2847,-83.74711,89
42.2847,-83.7471,37
42.2847,-83.74709,131
42.2847,-83.74708,215
42.2847,-83.74707,350
42.2847,-83.74706,794
42.2847,-83.74705,184
42.2847,-83.74704,85
42.2847,-83.74703,40
42.2847,-83.74702,13
42.2847,-83.74699,2
42.2847,-83.7466,3
42.28471,-83.74838,64
42.28471,-83.74837,464
42.28471,-83.74836,360
42.28471,-83.74835,378
42.28471,-83.74834,387
42.28471,-83.74833,81
42.28471,-83.74832,132
42.28471,-83.74831,218
42.28471,-83.7483,295
42.28471,-83.74829,585
42.28471,-83.74828,2437
42.28471,-83.74827,624
42.28471,-83.74826,582
42.28471,-83.74825,198
42.28471,-83.74824,10
42.28471,-83.74823,4
42.28471,-83.74715,1
42.28471,-83.74714,12
42.28471,-83.74713,16
42.28471,-83.74712,112
42.28471,-83.74711,131
42.28471,-83.7471,69
42.28471,-83.74709,170
42.28471,-83.74708,387
42.28471,-83.74707,623
42.28471,-83.74706,1331
42.28471,-83.74705,332
42.28471,-83.74704,196
42.28471,-83.74703,56
42.28471,-83.74702,29
42.28471,-83.74699,5
42.28471,-83.7466,4
42.28472,-83.74844,4
42.28472,-83.74842,4
42.28472,-83.74841,31
42.28472,-83.7484,41
42.28472,-83.74839,53
42.28472,-83.74838,41
42.28472,-83.74837,293
42.28472,-83.74836,221
42.28472,-83.74835,257
42.28472,-83.74834,268
42.28472,-83.74833,49
42.28472,-83.74832,23
42.28472,-83.74831,58
42.28472,-83.7483,128
42.28472,-83.74829,486
42.28472,-83.74828,1351
42.28472,-83.74827,306
