lat,lon,count
42.28483,-83.74641,4
42.28497,-83.74854,4
42.28499,-83.74749,4
42.285,-83.74837,2
42.28501,-83.74837,1
42.28504,-83.74836,3
42.28504,-83.74835,1
42.28505,-83.74837,4
42.28505,-83.74835,1
42.28505,-83.74775,1
42.2851,-83.74838,1
42.2851,-83.74836,1
42.2851,-83.74834,1
42.28511,-83.74797,4
42.28514,-83.74839,1
42.28514,-83.74837,13
42.28516,-83.7484,1
42.28516,-83.74482,2
42.28517,-83.7484,1
42.28518,-83.75008,4
42.28518,-83.7484,2
42.28519,-83.7484,1
42.2852,-83.74835,1
42.28522,-83.74835,1
42.28523,-83.74835,1
42.28526,-83.74836,2
42.28528,-83.74837,1
42.28528,-83.74836,1
42.2853,-83.74824,1
42.28531,-83.74834,1
42.28532,-83.74837,1
42.28532,-83.74835,1
42.28533,-83.74835,1
42.28533,-83.74834,3
42.28534,-83.74835,4
42.28534,-83.74834,3
42.28535,-83.74836,1
42.28535,-83.74834,1
42.28537,-83.74838,1
42.28537,-83.74836,1
42.28537,-83.74835,2
42.28538,-83.74837,2
42.28538,-83.74835,2
42.28538,-83.74832,1
42.28538,-83.74824,1
42.28539,-83.74836,1
42.28539,-83.74835,5
42.2854,-83.74835,2
42.2854,-83.74832,1
42.28541,-83.74837,1
42.28541,-83.74836,1
42.28541,-83.74835,1
42.28541,-83.74834,1
42.28541,-83.74833,1
42.28541,-83.74831,2
42.28542,-83.74836,2
42.28542,-83.74834,1
42.28543,-83.75,1
42.28543,-83.74836,1
42.28543,-83.74835,2
42.28543,-83.74834,2
42.28543,-83.74833,1
42.28544,-83.74836,1
42.28544,-83.74835,17
42.28544,-83.74831,6
42.28545,-83.74837,1
42.28545,-83.74836,1
42.28545,-83.74835,4
42.28545,-83.74833,1
42.28545,-83.74831,6
42.28546,-83.74836,3
42.28546,-83.74831,3
42.28547,-83.74836,1
42.28547,-83.74835,2
42.28547,-83.74834,2
42.28547,-83.74832,1
42.28548,-83.74836,1
42.28548,-83.74835,3
42.28548,-83.74834,2
