RxDevice,FileId,TxDevice,StartTime,Endtime,Value
46,4325741,46,292724498859748,292724499359752,208
46,4325742,46,292725455259278,292725455259278,208
26,4297380,26,292806454468407,292806457668399,192
24,4294982,24,292802197444039,292802198144024,192
46,4325742,46,292725354259435,292725455159278,80
46,4325741,46,292724275860141,292724498759757,80
24,4294982,24,292802032944054,292802197359270,128
26,4297380,26,292806148068993,292806454368409,128
46,4325742,46,292725455359278,292725538459147,80
24,4294982,24,292802198243985,292802557743749,128
46,4325741,46,292724499459748,292724846560141,80
26,4297380,26,292806457768402,292806851668828,128

