RxDevice,FileId,TxDevice,StartTime,Endtime,Value
41,4321797,41,292769753771727,292769754001704,0
45,4325201,45,292725195070810,292725195070810,1
60,4333968,60,292804652813682,292804659813606,8
60,4333968,60,292804659913673,292804692313506,0
60,4333968,60,292804692413508,292804695813496,8
62,4337507,62,292723662699827,292723718499979,5
62,4337507,62,292723718600060,292723724400064,1
62,4337507,62,292723724501034,292723729399896,5
62,4337507,62,292723729499906,292723732900968,1
62,4337507,62,292723733000947,292723745000977,5
41,4321800,41,292799688664580,292799688664580,0
61,4335918,61,292801324005549,292801338005587,8
61,4335918,61,292801338105650,292801381756685,0
61,4335918,61,292801381806703,292801405708991,8
62,4337509,62,292736308884856,292736323584812,5
62,4337509,62,292736323684900,292736342584969,1
87,4377910,87,292780035494795,292780047147679,1
62,4337509,62,292736342686049,292736376384841,3
83,4374531,83,292797378160908,292797826391956,1
86,4377137,86,292802774130014,292802788922979,1
85,4376274,85,292777501648364,292777515098362,1
87,4377913,87,292790431881273,292790620116928,1
87,4377916,87,292801290574652,292801316479666,1
83,4374533,83,292802082907450,292802113788432,9
87,4377915,87,292798516600174,292798536181234,0
87,4377918,87,292804668781408,292804695785407,1
63,4338766,63,292804316102688,292804397302731,5
87,4377912,87,292785330728577,292785359509583,1
87,4377911,87,292782252678151,292782339798849,1
63,4338764,63,292723453614068,292723773716424,1
84,4375057,84,292796704887063,292796743421979,1
84,4375055,84,292760250177201,292760286955110,1
82,4373855,82,292726402484660,292726461991751,1
66,4344465,66,292798343341439,292798409241393,0
87,4377917,87,292803554467924,292803629978980,1
65,4341643,65,292805476258211,292805540956945,1
61,4335917,61,292772255767361,292772259267311,4
80,4372398,80,292788945959772,292788965238803,0
82,4373861,82,292802972169892,292803026238944,0
87,4377919,87,292805274433298,292805356536320,1
67,4347397,67,292805025444757,292805026044818,5
80,4372396,80,292764246408920,292764648060640,1
82,4373858,82,292763205822791,292763288088934,1
87,4377920,87,292806478969733,292806497633615,1
80,4372400,80,292806335892152,292806453147957,1
83,4374530,83,292796266376302,292796510695257,1
86,4377135,86,292769393145043,292769637512112,1
63,4338765,63,292730589937385,292730641237421,1
80,4372399,80,292798768549465,292798998467352,0
66,4344462,66,292769525317426,292769705017601,1
83,4374529,83,292766138869828,292766413194833,1
86,4377136,86,292801964768969,292801969184919,1
85,4376276,85,292799619196574,292799688761710,4
87,4377909,87,292764758470572,292764759275613,1
67,4347396,67,292762971864917,292762990464962,1
60,4333968,60,292804695913498,292805254417956,0
82,4373857,82,292730716901938,292730897823063,1
62,4337510,62,292766588244662,292766743346011,1
80,4372397,80,292786372007299,292786386766233,1
61,4335918,61,292801405809859,292801481613940,0
87,4377912,87,292785263175862,292785322070662,1
87,4377919,87,292805200287528,292805201396444,5
62,4337507,62,292723745100112,292723765701050,1
61,4335919,61,292802759836896,292802797636975,0
63,4338764,63,292723224012805,292723252212810,1
84,4375056,84,292760808951835,292760985033865,1
84,4375057,84,292796410913939,292796567743005,1
87,4377910,87,292779710543416,292779719188405,0
61,4335917,61,292770863652900,292770892953977,1
80,4372398,80,292788403335131,292788721700885,0
87,4377916,87,292799285456346,292799332342320,1
65,4341643,65,292805143357587,292805207357554,1
62,4337507,62,292723546999705,292723662599825,1
61,4335919,61,292801878727676,292802322731916,0
84,4375056,84,292760627753767,292760648551753,1
83,4374533,83,292800484520712,292801071940806,1
87,4377915,87,292796766899640,292796767201744,4
87,4377918,87,292804441498538,292804478433062,1
62,4337510,62,292765174033666,292765242533693,1
80,4372397,80,292785656672876,292785663305780,1
80,4372396,80,292763882505147,292764037026068,0
84,4375055,84,292760205652171,292760242638096,1
82,4373855,82,292726174929478,292726198139469,1
67,4347397,67,292803469740941,292803495041785,1
82,4373858,82,292762912666700,292762974487680,1
87,4377920,87,292805714325924,292805939782940,1
66,4344462,66,292768681113906,292768764713976,1
83,4374529,83,292765675261959,292766118802904,1
86,4377136,86,292801617815833,292801696653848,1
63,4338766,63,292803927101523,292803975601458,1
83,4374530,83,292795698007921,292795706796367,1
86,4377135,86,292768851300918,292768883902856,1
87,4377911,87,292781236422383,292781288138275,0
66,4344465,66,292797413138749,292797524638842,0
87,4377917,87,292802799674273,292802962447164,1
60,4333968,60,292804622013691,292804652713614,0
67,4347396,67,292760818758562,292761569559824,1
63,4338765,63,292729973534596,292729977234601,1
80,4372399,80,292798394545656,292798395852638,0
82,4373857,82,292730550129784,292730681977008,1
87,4377913,87,292788906540363,292788942374436,8
85,4376276,85,292797344683881,292797372255942,0
87,4377909,87,292763301284190,292763365574972,1
80,4372400,80,292805059809612,292805704587299,1
87,4377913,87,292788942477446,292789937151526,0
87,4377913,87,292789937251534,292789943172460,4
87,4377913,87,292789943272438,292789951096470,0
87,4377913,87,292789951197500,292789956014396,8
87,4377913,87,292789956115396,292790006695578,0
87,4377913,87,292790006796588,292790012717472,4
87,4377913,87,292790012818463,292790235919197,0
87,4377913,87,292790236019332,292790268749150,1
87,4377913,87,292790268849147,292790272260176,9
87,4377913,87,292790272365059,292790315130206,1
87,4377913,87,292790315231269,292790325771187,5
87,4377913,87,292790325956228,292790384408141,1
87,4377913,87,292790384508197,292790431781195,5
61,4335918,61,292801305205563,292801323905603,0
62,4337509,62,292736265584837,292736308784869,1
83,4374531,83,292797084927987,292797092167958,1
85,4376274,85,292775773713038,292775777134999,5
86,4377137,86,292802757030959,292802762054970,1
87,4377913,87,292788495482462,292788572145798,0
82,4373861,82,292802705563718,292802730490804,0
87,4377911,87,292781288238323,292781306053265,4
87,4377911,87,292781306153256,292781507777955,0
87,4377911,87,292781507877964,292781515302856,4
87,4377911,87,292781515403870,292781526152894,0
87,4377911,87,292781526252853,292781542208759,8
87,4377911,87,292781542305835,292781543511809,0
87,4377911,87,292781543611906,292781548438822,8
87,4377911,87,292781548539820,292781579957791,0
87,4377911,87,292781580058741,292781590897752,4
87,4377911,87,292781590998737,292781650446627,0
87,4377911,87,292781650547626,292781668308703,4
87,4377911,87,292781668409614,292781718835665,0
87,4377911,87,292781718936766,292781737603670,8
87,4377911,87,292781737703615,292781800145535,0
87,4377911,87,292781800245537,292781811787626,8
87,4377911,87,292781811888643,292781864793548,0
87,4377911,87,292781864893648,292781875845416,4
87,4377911,87,292781875945445,292781879357467,0
87,4377911,87,292781879457411,292781906358360,8
87,4377911,87,292781906458423,292781906960419,0
87,4377911,87,292781907060359,292781909368354,4
87,4377911,87,292781909468355,292782252578093,0
87,4377913,87,292788716989692,292788814085719,0
87,4377913,87,292788814185694,292788824223476,4
87,4377913,87,292788824324484,292788827039505,0
87,4377913,87,292788827140490,292788832964484,4
87,4377913,87,292788833064487,292788870401512,0
87,4377913,87,292788870502522,292788873613421,8
87,4377913,87,292788873713412,292788906440368,0
86,4377135,86,292768883959049,292768890406892,5
86,4377135,86,292768890506861,292768907610896,1
86,4377135,86,292768907712668,292768916356962,5
86,4377135,86,292768916456991,292768936789929,1
86,4377135,86,292768936890920,292768999420943,9
86,4377135,86,292768999524931,292769093338069,1
86,4377135,86,292769093439007,292769100162938,9
86,4377135,86,292769100263082,292769117636956,1
86,4377135,86,292769117736999,292769125262041,5
86,4377135,86,292769125362971,292769154885095,1
86,4377135,86,292769154985110,292769161714022,5
86,4377135,86,292769161814077,292769306987154,1
86,4377135,86,292769307087220,292769314718068,9
86,4377135,86,292769314818130,292769387825124,1
86,4377135,86,292769387926055,292769393044055,9
87,4377912,87,292785322171657,292785330627634,5
87,4377916,87,292799332443273,292799335659279,5
87,4377916,87,292799335759281,292799391285289,1
87,4377916,87,292799391385323,292799395198244,5
87,4377916,87,292799395298297,292799444685272,1
87,4377916,87,292799444785288,292799448598290,5
87,4377916,87,292799448698287,292799557608614,1
87,4377916,87,292799557705156,292799593453260,9
87,4377916,87,292799593553203,292799594456218,1
87,4377916,87,292799594557211,292799600180287,5
87,4377916,87,292799600280296,292799618144152,1
87,4377916,87,292799618244207,292799621763258,5
87,4377916,87,292799621864170,292799674160148,1
87,4377916,87,292799674261092,292799679079207,5
87,4377916,87,292799679180095,292799684498102,1
87,4377916,87,292799684598158,292799688816030,5
87,4377916,87,292799688913139,292799802748062,1
87,4377916,87,292799802849124,292799990071998,0
87,4377916,87,292799990171993,292799993182004,8
87,4377916,87,292799993282151,292800064464100,0
87,4377916,87,292800064564041,292800068479084,4
87,4377916,87,292800068579107,292800267944876,0
87,4377916,87,292800268044867,292800271862873,8
87,4377916,87,292800271963037,292800336502040,0
87,4377916,87,292800336603027,292800449149796,1
87,4377916,87,292800449250829,292800454673795,9
87,4377916,87,292800454774789,292800477966864,1
87,4377916,87,292800478066870,292800485792902,9
87,4377916,87,292800485892901,292800508983899,1
87,4377916,87,292800509083847,292800528462868,5
87,4377916,87,292800528562760,292800540802986,1
87,4377916,87,292800540903877,292800547024753,5
87,4377916,87,292800547125756,292800561284771,1
87,4377916,87,292800561385878,292800566302985,5
87,4377916,87,292800566403881,292800772398788,1
87,4377916,87,292800772498790,292800778623151,9
87,4377916,87,292800778720814,292800786856777,1
87,4377916,87,292800786957776,292800798903256,9
87,4377916,87,292800799002945,292800820988804,1
87,4377916,87,292800821088905,292800821088905,5
87,4377916,87,292800821188845,292800821590839,1
87,4377916,87,292800821690813,292800843475765,5
87,4377916,87,292800843575767,292800886159719,1
87,4377916,87,292800886259700,292800890273726,5
87,4377916,87,292800890373679,292800909648694,1
87,4377916,87,292800909820281,292801036389850,5
87,4377916,87,292801036489790,292801135049047,1
87,4377916,87,292801135069680,292801151024635,9
87,4377916,87,292801151124640,292801221112645,1
87,4377916,87,292801221206675,292801238074636,9
87,4377916,87,292801238175656,292801257948612,1
87,4377916,87,292801258048620,292801276512735,5
87,4377916,87,292801276612692,292801277114640,1
87,4377916,87,292801277214693,292801290474650,9
87,4377910,87,292779719289350,292779734685365,1
87,4377910,87,292779734786348,292779755725434,5
87,4377910,87,292779755826411,292779910394114,1
87,4377910,87,292779910495092,292779934594116,9
87,4377910,87,292779934694054,292780013805734,1
87,4377910,87,292780013905732,292780035394799,5
87,4377919,87,292805201497602,292805205622365,1
87,4377919,87,292805205722360,292805222027354,5
87,4377919,87,292805222128400,292805267287348,1
87,4377919,87,292805267388347,292805274332293,9
87,4377917,87,292802962548163,292802982157149,9
87,4377917,87,292802982258141,292802986576143,1
87,4377917,87,292802986676144,292802988987327,5
87,4377917,87,292802989087254,292802992370178,1
87,4377917,87,292802992401203,292803002861148,5
87,4377917,87,292803002961152,292803005070148,1
87,4377917,87,292803005171148,292803021757163,9
87,4377917,87,292803021857151,292803027282270,1
87,4377917,87,292803027381265,292803040246144,9
87,4377917,87,292803040346204,292803125455106,1
87,4377917,87,292803125556124,292803130071256,5
87,4377917,87,292803130172282,292803140508138,1
87,4377917,87,292803140609102,292803168415228,5
87,4377917,87,292803168515270,292803183984254,1
87,4377917,87,292803184085389,292803222237134,5
87,4377917,87,292803222337129,292803283391193,1
87,4377917,87,292803283492191,292803291426141,5
87,4377917,87,292803291527147,292803426363006,1
87,4377917,87,292803426463143,292803457685223,5
87,4377917,87,292803457785226,292803501673977,1
87,4377917,87,292803501773979,292803554367984,9
87,4377909,87,292763735909132,292763751473137,5
87,4377909,87,292763751574100,292763898247918,1
87,4377909,87,292763898348926,292763905789016,5
87,4377909,87,292763905889031,292763990587890,1
87,4377909,87,292763990687966,292763997712785,5
87,4377909,87,292763997813829,292764022818676,1
87,4377909,87,292764022919667,292764053337601,9
87,4377909,87,292764053438669,292764198424346,1
87,4377909,87,292764198524337,292764205659343,5
87,4377909,87,292764205759351,292764285890300,1
87,4377909,87,292764285990309,292764318918174,9
87,4377909,87,292764319064204,292764326947173,1
87,4377909,87,292764327066204,292764346229193,5
87,4377909,87,292764346330271,292764507181872,1
87,4377909,87,292764507281964,292764589977836,5
87,4377909,87,292764590078844,292764645406583,1
87,4377909,87,292764645501660,292764663379751,9
87,4377909,87,292764663480749,292764739098517,1
87,4377909,87,292764739189487,292764758370565,9
85,4376274,85,292777163015560,292777264813581,1
85,4376274,85,292777264913582,292777267323606,9
85,4376274,85,292777267507411,292777324257728,1
85,4376274,85,292777324357783,292777327668742,9
85,4376274,85,292777327768826,292777469214192,1
85,4376274,85,292777469314245,292777498637328,9
85,4376274,85,292777498737382,292777500343329,1
