RxDevice,FileId,TxDevice,StartTime,Endtime,Value
15,4289853,15,292786095583573,292786095583573,0
15,4289853,15,292786095683546,292786095683546,3
15,4289853,15,292786095783549,292786095983558,2
15,4289853,15,292786096083585,292786244683981,1
15,4289853,15,292786244783967,292786244983967,3
15,4289853,15,292786245083968,292786245283977,0
40,4320903,40,292737890575606,292737902475558,0
40,4320903,40,292737902575500,292738042676499,2
40,4320903,40,292738042776690,292738050476506,0
40,4320903,40,292738050576508,292738066676511,2
40,4320903,40,292738066776451,292738070876434,0
32,4310847,32,292801374616351,292801374616351,0
34,4314241,34,292770030621942,292770034222116,0
34,4314241,34,292770034321967,292770116021999,2
34,4314241,34,292770116121999,292770155322069,0
34,4314241,34,292770155423493,292770190222100,2
34,4314241,34,292770190322099,292770226322065,0
34,4314241,34,292770226422060,292770458022304,2
34,4314241,34,292770458122301,292770493422349,0
34,4314241,34,292770493522348,292770548922279,2
34,4314241,34,292770549022279,292770566222458,0
34,4314241,34,292770566322315,292770631022347,2
34,4314241,34,292770631122347,292770652822382,0
32,4310839,32,292731216798072,292731216798072,3
32,4310839,32,292731216898061,292731246298140,1
32,4310839,32,292731246398077,292731246398077,3
54,4329363,54,292764561516568,292764563216430,0
54,4329363,54,292764563316417,292764580316466,3
54,4329363,54,292764580416458,292764582016635,0
23,4294063,23,292765926723185,292765946423232,1
23,4294063,23,292765946523254,292765946623193,0
23,4294063,23,292765946723196,292766034923254,2
23,4294063,23,292766035023269,292766070523234,1
23,4294063,23,292766070623247,292766070723280,3
40,4320905,40,292770047548221,292770066248215,0
15,4289854,15,292790526968401,292790532168433,3
15,4289854,15,292790532268432,292790532568452,0
54,4329371,54,292795148921629,292795150521690,0
54,4329371,54,292795150621721,292795194521782,3
54,4329371,54,292795194621755,292795196221890,0
16,4290558,16,292797212774947,292797369775102,1
16,4290558,16,292797369875096,292797369875096,3
76,4370304,76,292806965707154,292806965906950,0
76,4370304,76,292806966007077,292806966007077,3
76,4370304,76,292806966107068,292807172306599,1
76,4370304,76,292807172406614,292807172406614,3
76,4370304,76,292807172508047,292807172508047,0
16,4290559,16,292799761507633,292799761507633,0
16,4290559,16,292799761607633,292799885306771,1
16,4290559,16,292799885406754,292799885406754,3
16,4290559,16,292799885506816,292799885606755,0
24,4294981,24,292797176211424,292797185111419,3
24,4294981,24,292797185211422,292797185411444,0
34,4314240,34,292725619824799,292725669324881,0
34,4314240,34,292725669424874,292725698424859,2
34,4314240,34,292725698524923,292725703624895,0
34,4314240,34,292725703724897,292725712324969,2
34,4314240,34,292725712424898,292725727824891,0
34,4314240,34,292725727924892,292725739524952,2
34,4314240,34,292725739624870,292725747324885,0
34,4314240,34,292725747424880,292725757024892,2
34,4314240,34,292725757124931,292725776524928,0
34,4314240,34,292725776624924,292725785824965,2
23,4294064,23,292767946022838,292767992222788,1
33,4312543,33,292764249571078,292764249671113,0
33,4312543,33,292764249771078,292764260971068,1
33,4312543,33,292764261071114,292764261171068,0
53,4328896,53,292778988368414,292778988768499,3
53,4328896,53,292778988868409,292779058668607,1
53,4328896,53,292779058768617,292779058768617,3
53,4328896,53,292779058868515,292779059968522,0
76,4370295,76,292765975317164,292765975317164,0
76,4370295,76,292765975417166,292765975417166,3
76,4370295,76,292765975517162,292765975517162,2
76,4370295,76,292765975617166,292766006517245,1
76,4370295,76,292766006617243,292766006717249,3
76,4370295,76,292766006817258,292766006817258,2
76,4370295,76,292766006917244,292766006917244,0
54,4329372,54,292797985951209,292797987551214,0
54,4329372,54,292797987651222,292798000951252,3
54,4329372,54,292798001051253,292798002551253,0
54,4329372,54,292798002651259,292799169751071,2
54,4329372,54,292799169851065,292799171451069,0
54,4329372,54,292799171551074,292799195551136,3
54,4329372,54,292799195651137,292799197351139,0
54,4329372,54,292799197451139,292799898051137,2
54,4329372,54,292799898151140,292799899751139,0
54,4329372,54,292799899851140,292799963351311,3
54,4329372,54,292799963451299,292799965051306,0
54,4329372,54,292799965151308,292801527250605,2
54,4329372,54,292801527350605,292801531950620,0
53,4328897,53,292786834124283,292786834124283,0
53,4328897,53,292786834224290,292786834624284,3
53,4328897,53,292786834724292,292786994224526,1
53,4328897,53,292786994324524,292786995824529,0
71,4365437,71,292789774969003,292789774969003,0
71,4365437,71,292789775068881,292789775068881,3
71,4365437,71,292789775168856,292789775168856,2
71,4365437,71,292789775268854,292789864068665,1
71,4365437,71,292789864168610,292789864268616,3
71,4365437,71,292789864368658,292789864368658,0
71,4365437,71,292789864468615,292790713169180,2
71,4365437,71,292790713269185,292790713269185,3
71,4365437,71,292790713369180,292790713369180,2
71,4365437,71,292790713469177,292790798868961,1
71,4365437,71,292790798968968,292790798968968,3
71,4365437,71,292790799068960,292790799068960,0
23,4294062,23,292728839865344,292728839965292,3
23,4294062,23,292728840065291,292728856765286,1
23,4294062,23,292728856865289,292728872965302,3
54,4329373,54,292807504492181,292807506092175,0
54,4329373,54,292807506192178,292807521492157,3
54,4329373,54,292807521592149,292807523292155,0
71,4365443,71,292799930044457,292799930044457,0
71,4365443,71,292799930144445,292799930144445,2
71,4365443,71,292799930244461,292799982644308,1
71,4365443,71,292799982744311,292799982744311,3
56,4331476,56,292801425889570,292801427489496,0
56,4331476,56,292801427589556,292801433789541,3
56,4331476,56,292801433889386,292801435689619,0
87,4377917,87,292803039479500,292803039479500,3
87,4377917,87,292803039543160,292803120939108,1
87,4377917,87,292803121039170,292803126258113,3
87,4377917,87,292803126358168,292803126358168,0
67,4347396,67,292762189861804,292762189961759,3
67,4347396,67,292762190061756,292762372161553,1
67,4347396,67,292762372262546,292762372862570,3
67,4347396,67,292762372962554,292762373662555,1
67,4347396,67,292762373762548,292762612063330,2
67,4347396,67,292762612163383,292762612163383,1
67,4347396,67,292762612263335,292762612363345,3
67,4347396,67,292762612463330,292762649863303,1
67,4347396,67,292762649963232,292762649963232,3
67,4347396,67,292762650063235,292762650163230,1
62,4337510,62,292766051339833,292766066940006,1
62,4337510,62,292766067039875,292766379242413,2
62,4337510,62,292766379342356,292766424942530,1
75,4369576,75,292773133527274,292773151527231,0
77,4371101,77,292769242023416,292769242023416,0
77,4371101,77,292769242123415,292769242123415,3
77,4371101,77,292769242223464,292769463022751,1
77,4371101,77,292769463122752,292769463122752,3
77,4371101,77,292769463222895,292769463222895,0
56,4331471,56,292765294691381,292765296391372,0
56,4331471,56,292765296491413,292765302091367,3
56,4331471,56,292765302191365,292765303991363,0
83,4374533,83,292801280749928,292801280749928,0
83,4374533,83,292801280850959,292801394835992,1
83,4374533,83,292801394936071,292801395037010,0
71,4365431,71,292770693525823,292770693525823,3
71,4365431,71,292770693625825,292770693625825,2
71,4365431,71,292770693725825,292770819526456,1
71,4365431,71,292770819626412,292770819626412,3
71,4365431,71,292770819726564,292770819826432,0
87,4377909,87,292763955081931,292763955081931,0
87,4377909,87,292763955170850,292763989382900,1
87,4377909,87,292763989483906,292763989483906,3
87,4377909,87,292763989583975,292763990065683,0
80,4372400,80,292806125433132,292806125433132,3
80,4372400,80,292806125533137,292806250362072,1
80,4372400,80,292806250462013,292806269230057,3
80,4372400,80,292806269330006,292806269330006,0
83,4374531,83,292797249012051,292797249012051,3
83,4374531,83,292797249113057,292797287040039,1
83,4374531,83,292797287140973,292797287442032,3
83,4374531,83,292797287542027,292797287742974,0
87,4377913,87,292789000708280,292789000708280,3
87,4377913,87,292789000812283,292789708936619,1
87,4377913,87,292789709036684,292789709036684,0
87,4377913,87,292789709137620,292789812199657,2
87,4377913,87,292789812299601,292789812299601,0
87,4377913,87,292789812400584,292789834073529,1
87,4377913,87,292789834174550,292789834174550,3
87,4377913,87,292789834274617,292789835077618,0
87,4377913,87,292789835178723,292789960239404,2
87,4377913,87,292789960341162,292789960341162,3
87,4377913,87,292789960440421,292790006194520,1
87,4377913,87,292790006294568,292790006294568,0
77,4371099,77,292762979201563,292762979301566,0
77,4371099,77,292762979401567,292762979601594,3
77,4371099,77,292762979701567,292763165501757,1
77,4371099,77,292763165601758,292763165601758,2
77,4371099,77,292763165701757,292763165701757,0
75,4369576,75,292772886827820,292773133427180,2
15,4289853,15,292785578483797,292786095483559,2
40,4320903,40,292737630186967,292737890475565,2
56,4331471,56,292764345791113,292765294591387,2
54,4329372,54,292797412651471,292797985851207,2
53,4328897,53,292786574725022,292786834024284,2
83,4374533,83,292800484520712,292801280649982,2
23,4294064,23,292767647522522,292767945922801,2
67,4347396,67,292760818758562,292762189761754,2
87,4377909,87,292763301284190,292763954970894,2
16,4290559,16,292799500007284,292799761407693,2
71,4365431,71,292770661725885,292770693425822,2
54,4329373,54,292805620092392,292807504392167,2
71,4365443,71,292799038344002,292799929944448,2
24,4294981,24,292796980611519,292797176111415,2
77,4371099,77,292762136901922,292762979101617,2
34,4314240,34,292725166525455,292725619725805,2
80,4372400,80,292805059809612,292806125332138,2
32,4310847,32,292801366916336,292801374516349,2
34,4314241,34,292770023121965,292770030521940,2
71,4365437,71,292788965069442,292789774868949,2
77,4371101,77,292769154523358,292769241923416,2
16,4290558,16,292797111774856,292797212674956,2
76,4370304,76,292806160406450,292806965607014,2
62,4337510,62,292765174033666,292766051239830,2
15,4289854,15,292790477468213,292790526868407,2
54,4329371,54,292793847821927,292795148821631,2
56,4331476,56,292800544889134,292801425789558,2
87,4377917,87,292802799674273,292803039342198,2
23,4294062,23,292727880165593,292728839765282,2
32,4310839,32,292730809098113,292731216698061,2
54,4329363,54,292764196416119,292764561416416,2
23,4294063,23,292764681123105,292765926623184,2
40,4320905,40,292769977661460,292770047448189,2
83,4374531,83,292797084927987,292797248911962,2
87,4377913,87,292788495482462,292789000607286,2
33,4312543,33,292763878571631,292764249471121,2
53,4328896,53,292777965668131,292778988268501,2
76,4370295,76,292764773717141,292765975217320,2
15,4289853,15,292786245384002,292786412383644,2
54,4329372,54,292801532050614,292802228850665,2
40,4320903,40,292738070976515,292738077176208,2
53,4328897,53,292786995924527,292787246224771,2
56,4331471,56,292765304091370,292765843491034,2
83,4374533,83,292801395137075,292802113788432,2
34,4314240,34,292725785924962,292725797024981,0
80,4372400,80,292806269431005,292806453147957,2
32,4310847,32,292801374716349,292801621317705,2
34,4314241,34,292770652922379,292770677322413,2
71,4365437,71,292790799168959,292791239868855,2
77,4371101,77,292769463322775,292770325822479,2
16,4290558,16,292797369974966,292797469075088,2
76,4370304,76,292807172606595,292807870206941,2
62,4337510,62,292766425042530,292766743346011,2
15,4289854,15,292790532668421,292791252968516,2
54,4329371,54,292795196321894,292796111521306,2
56,4331476,56,292801435789632,292801725089852,2
87,4377917,87,292803126459179,292803629978980,2
54,4329373,54,292807523392150,292808023992030,2
71,4365443,71,292799982844312,292800436944078,2
16,4290559,16,292799885706748,292800138907155,2
71,4365431,71,292770819926549,292771709125765,2
23,4294062,23,292728873065317,292729082265425,2
23,4294064,23,292767992322787,292768102422833,2
67,4347396,67,292762650263231,292762990464962,2
75,4369576,75,292773151627233,292773410027645,2
87,4377909,87,292763990085921,292764759275613,2
77,4371099,77,292763165801844,292763341802101,2
33,4312543,33,292764261271105,292764523371858,2
53,4328896,53,292779060068519,292780604468757,2
76,4370295,76,292766007017244,292766362417931,2
24,4294981,24,292797185511422,292797728511215,2
32,4310839,32,292731246498085,292731604298184,2
54,4329363,54,292764582116562,292764845316694,2
23,4294063,23,292766070823246,292766880422892,2
40,4320905,40,292770066348200,292770172848266,2
83,4374531,83,292797287842982,292797826391956,2
87,4377913,87,292790006395538,292790620116928,2

