RxDevice,FileId,TxDevice,StartTime,Endtime,Value
11,4247060,11,292784986346466,292784991346463,2
11,4247060,11,292784991446455,292784998946466,242
11,4247060,11,292784999046467,292785009546489,2
11,4247060,11,292785009646480,292785012846534,242
11,4247060,11,292785012946481,292785019946492,2
11,4247060,11,292785020046492,292785023546496,242
11,4247060,11,292785023646496,292785030346517,2
11,4247060,11,292785030446511,292785034146521,242
11,4247060,11,292785034246514,292785038545494,2
11,4247060,11,292785038646538,292785044745507,242
11,4247060,11,292785044845510,292785082645594,2
11,4247060,11,292785082745601,292785093145601,242
11,4247060,11,292785093245594,292785109145616,2
11,4247060,11,292785109245621,292785114045621,242
11,4247060,11,292785114145623,292785121245642,2
11,4247060,11,292785121345624,292785179745672,242
11,4247060,11,292785179845663,292785234345709,2
11,4247060,11,292785234445708,292785246345772,242
11,4247060,11,292785246445723,292785250945734,2
11,4247060,11,292785251045732,292785261245751,242
11,4247060,11,292785261345755,292785412646034,2
11,4247060,11,292785412746045,292785428146020,242
11,4247060,11,292785428246010,292785540046192,2
11,4247060,11,292785540146203,292785547846201,242
11,4247060,11,292785547947579,292785570846237,2
11,4247060,11,292785570946258,292785580746243,242
11,4247061,11,292789688211637,292789696411503,242
11,4247061,11,292789696511507,292789719311557,2
11,4247061,11,292789719411545,292789754111608,242
11,4247061,11,292789754210611,292789808010685,2
11,4247061,11,292789808110687,292789816410699,242
11,4247061,11,292789816510701,292789860510748,2
11,4247061,11,292789860610750,292789865010756,242
11,4247061,11,292789865110756,292789868710777,2
11,4247061,11,292789868810779,292789871110784,242
11,4247061,11,292789871210883,292789877710805,2
11,4247061,11,292789877810803,292789884610866,242
11,4247061,11,292789884710820,292789910410854,2
11,4247061,11,292789910510851,292789914010878,242
11,4247061,11,292789914110864,292789920110977,2
11,4247061,11,292789920210991,292789931210914,242
11,4247061,11,292789931310857,292790000710879,2
11,4247061,11,292790000810928,292790014110908,242
11,4247061,11,292790014211082,292790017010955,2
11,4247061,11,292790017110967,292790045110976,242
11,4247061,11,292790045212011,292790048811409,2
11,4247061,11,292790048911017,292790054211494,242
11,4247061,11,292790054312306,292790094511059,2
11,4247061,11,292790094611059,292790107311083,242
11,4247061,11,292790107412137,292790172712248,2
11,4247061,11,292790172812559,292790178111217,242
11,4247061,11,292790178212207,292790194111254,2
11,4247061,11,292790194211272,292790200712274,242
11,4247061,11,292790200812560,292790223811606,2
11,4247061,11,292790223912290,292790250411275,242
11,4247061,11,292790250511310,292790260811308,2
11,4247061,11,292790260911282,292790295411332,242
11,4247061,11,292790295511328,292790304611359,2
11,4247061,11,292790304711347,292790333211391,242
11,4247061,11,292790333311394,292790334211391,2
11,4247061,11,292790334311395,292790336711400,242
11,4247061,11,292790336811398,292790352311431,2
11,4247061,11,292790352411429,292790376711475,242
11,4247061,11,292790376811464,292790415111531,2
11,4247061,11,292790415211680,292790448511562,242
11,4247060,11,292785580846242,292785604446272,2
11,4247061,11,292789670111489,292789688111491,2
