RxDevice,FileId,TxDevice,StartTime,Endtime,Value
87,4377917,87,292803039479500,292803039479500,3
87,4377917,87,292803039543160,292803120939108,1
87,4377917,87,292803121039170,292803126258113,3
87,4377917,87,292803126358168,292803126358168,0
87,4377909,87,292763955081931,292763955081931,0
87,4377909,87,292763955170850,292763989382900,1
87,4377909,87,292763989483906,292763989483906,3
87,4377909,87,292763989583975,292763990065683,0
87,4377913,87,292789000708280,292789000708280,3
87,4377913,87,292789000812283,292789708936619,1
87,4377913,87,292789709036684,292789709036684,0
87,4377913,87,292789709137620,292789812199657,2
87,4377913,87,292789812299601,292789812299601,0
87,4377913,87,292789812400584,292789834073529,1
87,4377913,87,292789834174550,292789834174550,3
87,4377913,87,292789834274617,292789835077618,0
87,4377913,87,292789835178723,292789960239404,2
87,4377913,87,292789960341162,292789960341162,3
87,4377913,87,292789960440421,292790006194520,1
87,4377913,87,292790006294568,292790006294568,0
87,4377909,87,292763301284190,292763954970894,2
87,4377917,87,292802799674273,292803039342198,2
87,4377913,87,292788495482462,292789000607286,2
87,4377917,87,292803126459179,292803629978980,2
87,4377909,87,292763990085921,292764759275613,2
87,4377913,87,292790006395538,292790620116928,2
